Case ID,Activity,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,variant,variant-index,creator
69,IT Specialist: Configure Sensors,2023-02-21 13:30:02.000,Variant 6,6,IT Specialist: Configure Sensors,complete,Variant 6,6,Fluxicon Disco
69,IT Specialist: Configure System Addresses,2023-02-21 13:30:03.000,Variant 6,6,IT Specialist: Configure System Addresses,complete,Variant 6,6,Fluxicon Disco
69,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 13:30:04.000,Variant 6,6,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 6,6,Fluxicon Disco
69,Data Analyst: Configure Segregation System,2023-02-21 13:30:05.000,Variant 6,6,Data Analyst: Configure Segregation System,complete,Variant 6,6,Fluxicon Disco
69,Machine Learning Expert: Configure Development System,2023-02-21 13:30:06.000,Variant 6,6,Machine Learning Expert: Configure Development System,complete,Variant 6,6,Fluxicon Disco
69,Machine Learning Expert: Configure Execution System,2023-02-21 13:30:07.000,Variant 6,6,Machine Learning Expert: Configure Execution System,complete,Variant 6,6,Fluxicon Disco
69,Data Engineer: Configure Monitoring System,2023-02-21 13:30:08.000,Variant 6,6,Data Engineer: Configure Monitoring System,complete,Variant 6,6,Fluxicon Disco
69,Technician: Assign Productivity Level,2023-02-21 13:30:09.000,Variant 6,6,Technician: Assign Productivity Level,complete,Variant 6,6,Fluxicon Disco
69,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 13:30:10.000,Variant 6,6,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 6,6,Fluxicon Disco
69,Data Analyst: Configure Segregation System,2023-02-21 13:30:11.000,Variant 6,6,Data Analyst: Configure Segregation System,complete,Variant 6,6,Fluxicon Disco
69,Machine Learning Expert: Configure Development System,2023-02-21 13:30:12.000,Variant 6,6,Machine Learning Expert: Configure Development System,complete,Variant 6,6,Fluxicon Disco
69,Machine Learning Expert: Configure Execution System,2023-02-21 13:30:13.000,Variant 6,6,Machine Learning Expert: Configure Execution System,complete,Variant 6,6,Fluxicon Disco
69,Data Engineer: Configure Monitoring System,2023-02-21 13:30:14.000,Variant 6,6,Data Engineer: Configure Monitoring System,complete,Variant 6,6,Fluxicon Disco
69,End,2023-02-21 13:30:14.000,Variant 6,6,End,complete,Variant 6,6,Fluxicon Disco
27,Start,2023-02-20 14:30:00.000,Variant 3,3,Start,complete,Variant 3,3,Fluxicon Disco
27,Technician: Assign Productivity Level,2023-02-20 14:30:01.000,Variant 3,3,Technician: Assign Productivity Level,complete,Variant 3,3,Fluxicon Disco
27,Data Engineer: Evaluate Model Performance,2023-02-20 14:30:02.000,Variant 3,3,Data Engineer: Evaluate Model Performance,complete,Variant 3,3,Fluxicon Disco
27,End,2023-02-20 14:30:02.000,Variant 3,3,End,complete,Variant 3,3,Fluxicon Disco
29,Start,2023-02-20 14:50:00.000,Variant 2,2,Start,complete,Variant 2,2,Fluxicon Disco
29,PR Clerk: Register new customer,2023-02-20 14:50:01.000,Variant 2,2,PR Clerk: Register new customer,complete,Variant 2,2,Fluxicon Disco
29,IT Specialist: Configure Sensors,2023-02-20 14:50:02.000,Variant 2,2,IT Specialist: Configure Sensors,complete,Variant 2,2,Fluxicon Disco
29,IT Specialist: Configure System Addresses,2023-02-20 14:50:03.000,Variant 2,2,IT Specialist: Configure System Addresses,complete,Variant 2,2,Fluxicon Disco
29,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 14:50:04.000,Variant 2,2,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 2,2,Fluxicon Disco
29,Data Analyst: Configure Segregation System,2023-02-20 14:50:05.000,Variant 2,2,Data Analyst: Configure Segregation System,complete,Variant 2,2,Fluxicon Disco
29,Machine Learning Expert: Configure Development System,2023-02-20 14:50:06.000,Variant 2,2,Machine Learning Expert: Configure Development System,complete,Variant 2,2,Fluxicon Disco
29,Machine Learning Expert: Configure Execution System,2023-02-20 14:50:07.000,Variant 2,2,Machine Learning Expert: Configure Execution System,complete,Variant 2,2,Fluxicon Disco
29,Data Engineer: Configure Monitoring System,2023-02-20 14:50:08.000,Variant 2,2,Data Engineer: Configure Monitoring System,complete,Variant 2,2,Fluxicon Disco
29,Technician: Assign Productivity Level,2023-02-20 14:50:09.000,Variant 2,2,Technician: Assign Productivity Level,complete,Variant 2,2,Fluxicon Disco
29,Data Engineer: Evaluate Model Performance,2023-02-20 14:50:10.000,Variant 2,2,Data Engineer: Evaluate Model Performance,complete,Variant 2,2,Fluxicon Disco
29,End,2023-02-20 14:50:10.000,Variant 2,2,End,complete,Variant 2,2,Fluxicon Disco
28,Start,2023-02-20 14:40:00.000,Variant 2,2,Start,complete,Variant 2,2,Fluxicon Disco
28,PR Clerk: Register new customer,2023-02-20 14:40:01.000,Variant 2,2,PR Clerk: Register new customer,complete,Variant 2,2,Fluxicon Disco
28,IT Specialist: Configure Sensors,2023-02-20 14:40:02.000,Variant 2,2,IT Specialist: Configure Sensors,complete,Variant 2,2,Fluxicon Disco
28,IT Specialist: Configure System Addresses,2023-02-20 14:40:03.000,Variant 2,2,IT Specialist: Configure System Addresses,complete,Variant 2,2,Fluxicon Disco
28,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 14:40:04.000,Variant 2,2,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 2,2,Fluxicon Disco
28,Data Analyst: Configure Segregation System,2023-02-20 14:40:05.000,Variant 2,2,Data Analyst: Configure Segregation System,complete,Variant 2,2,Fluxicon Disco
28,Machine Learning Expert: Configure Development System,2023-02-20 14:40:06.000,Variant 2,2,Machine Learning Expert: Configure Development System,complete,Variant 2,2,Fluxicon Disco
28,Machine Learning Expert: Configure Execution System,2023-02-20 14:40:07.000,Variant 2,2,Machine Learning Expert: Configure Execution System,complete,Variant 2,2,Fluxicon Disco
28,Data Engineer: Configure Monitoring System,2023-02-20 14:40:08.000,Variant 2,2,Data Engineer: Configure Monitoring System,complete,Variant 2,2,Fluxicon Disco
28,Technician: Assign Productivity Level,2023-02-20 14:40:09.000,Variant 2,2,Technician: Assign Productivity Level,complete,Variant 2,2,Fluxicon Disco
28,Data Engineer: Evaluate Model Performance,2023-02-20 14:40:10.000,Variant 2,2,Data Engineer: Evaluate Model Performance,complete,Variant 2,2,Fluxicon Disco
28,End,2023-02-20 14:40:10.000,Variant 2,2,End,complete,Variant 2,2,Fluxicon Disco
8,Start,2023-02-20 11:20:00.000,Variant 6,6,Start,complete,Variant 6,6,Fluxicon Disco
8,PR Clerk: Register new customer,2023-02-20 11:20:01.000,Variant 6,6,PR Clerk: Register new customer,complete,Variant 6,6,Fluxicon Disco
8,IT Specialist: Configure Sensors,2023-02-20 11:20:02.000,Variant 6,6,IT Specialist: Configure Sensors,complete,Variant 6,6,Fluxicon Disco
8,IT Specialist: Configure System Addresses,2023-02-20 11:20:03.000,Variant 6,6,IT Specialist: Configure System Addresses,complete,Variant 6,6,Fluxicon Disco
8,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 11:20:04.000,Variant 6,6,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 6,6,Fluxicon Disco
8,Data Analyst: Configure Segregation System,2023-02-20 11:20:05.000,Variant 6,6,Data Analyst: Configure Segregation System,complete,Variant 6,6,Fluxicon Disco
8,Machine Learning Expert: Configure Development System,2023-02-20 11:20:06.000,Variant 6,6,Machine Learning Expert: Configure Development System,complete,Variant 6,6,Fluxicon Disco
8,Machine Learning Expert: Configure Execution System,2023-02-20 11:20:07.000,Variant 6,6,Machine Learning Expert: Configure Execution System,complete,Variant 6,6,Fluxicon Disco
8,Data Engineer: Configure Monitoring System,2023-02-20 11:20:08.000,Variant 6,6,Data Engineer: Configure Monitoring System,complete,Variant 6,6,Fluxicon Disco
8,Technician: Assign Productivity Level,2023-02-20 11:20:09.000,Variant 6,6,Technician: Assign Productivity Level,complete,Variant 6,6,Fluxicon Disco
8,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 11:20:10.000,Variant 6,6,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 6,6,Fluxicon Disco
8,Data Analyst: Configure Segregation System,2023-02-20 11:20:11.000,Variant 6,6,Data Analyst: Configure Segregation System,complete,Variant 6,6,Fluxicon Disco
8,Machine Learning Expert: Configure Development System,2023-02-20 11:20:12.000,Variant 6,6,Machine Learning Expert: Configure Development System,complete,Variant 6,6,Fluxicon Disco
8,Machine Learning Expert: Configure Execution System,2023-02-20 11:20:13.000,Variant 6,6,Machine Learning Expert: Configure Execution System,complete,Variant 6,6,Fluxicon Disco
8,Data Engineer: Configure Monitoring System,2023-02-20 11:20:14.000,Variant 6,6,Data Engineer: Configure Monitoring System,complete,Variant 6,6,Fluxicon Disco
8,End,2023-02-20 11:20:14.000,Variant 6,6,End,complete,Variant 6,6,Fluxicon Disco
9,Start,2023-02-20 11:30:00.000,Variant 14,14,Start,complete,Variant 14,14,Fluxicon Disco
9,Technician: Assign Productivity Level,2023-02-20 11:30:01.000,Variant 14,14,Technician: Assign Productivity Level,complete,Variant 14,14,Fluxicon Disco
9,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 11:30:02.000,Variant 14,14,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 14,14,Fluxicon Disco
9,Data Analyst: Configure Segregation System,2023-02-20 11:30:03.000,Variant 14,14,Data Analyst: Configure Segregation System,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Configure Development System,2023-02-20 11:30:04.000,Variant 14,14,Machine Learning Expert: Configure Development System,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Configure Execution System,2023-02-20 11:30:05.000,Variant 14,14,Machine Learning Expert: Configure Execution System,complete,Variant 14,14,Fluxicon Disco
9,Data Engineer: Configure Monitoring System,2023-02-20 11:30:06.000,Variant 14,14,Data Engineer: Configure Monitoring System,complete,Variant 14,14,Fluxicon Disco
9,Technician: Assign Productivity Level,2023-02-20 11:30:07.000,Variant 14,14,Technician: Assign Productivity Level,complete,Variant 14,14,Fluxicon Disco
9,Data Analyst: Analyze Balance Report,2023-02-20 11:30:08.000,Variant 14,14,Data Analyst: Analyze Balance Report,complete,Variant 14,14,Fluxicon Disco
9,Data Analyst: Analyze Radar Diagram,2023-02-20 11:30:09.000,Variant 14,14,Data Analyst: Analyze Radar Diagram,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Evaluate Training Report,2023-02-20 11:30:10.000,Variant 14,14,Machine Learning Expert: Evaluate Training Report,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Select Best Architecture,2023-02-20 11:30:11.000,Variant 14,14,Machine Learning Expert: Select Best Architecture,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Fix Number of Epochs,2023-02-20 11:30:12.000,Variant 14,14,Machine Learning Expert: Fix Number of Epochs,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Evaluate Training Report,2023-02-20 11:30:13.000,Variant 14,14,Machine Learning Expert: Evaluate Training Report,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Fix Number of Epochs,2023-02-20 11:30:14.000,Variant 14,14,Machine Learning Expert: Fix Number of Epochs,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Evaluate Training Report,2023-02-20 11:30:15.000,Variant 14,14,Machine Learning Expert: Evaluate Training Report,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Select Best Architecture,2023-02-20 11:30:16.000,Variant 14,14,Machine Learning Expert: Select Best Architecture,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Evaluate Test Report,2023-02-20 11:30:17.000,Variant 14,14,Machine Learning Expert: Evaluate Test Report,complete,Variant 14,14,Fluxicon Disco
9,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 11:30:18.000,Variant 14,14,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 14,14,Fluxicon Disco
9,Data Analyst: Configure Segregation System,2023-02-20 11:30:19.000,Variant 14,14,Data Analyst: Configure Segregation System,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Configure Development System,2023-02-20 11:30:20.000,Variant 14,14,Machine Learning Expert: Configure Development System,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Configure Execution System,2023-02-20 11:30:21.000,Variant 14,14,Machine Learning Expert: Configure Execution System,complete,Variant 14,14,Fluxicon Disco
9,Data Engineer: Configure Monitoring System,2023-02-20 11:30:22.000,Variant 14,14,Data Engineer: Configure Monitoring System,complete,Variant 14,14,Fluxicon Disco
9,Technician: Assign Productivity Level,2023-02-20 11:30:23.000,Variant 14,14,Technician: Assign Productivity Level,complete,Variant 14,14,Fluxicon Disco
9,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 11:30:24.000,Variant 14,14,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 14,14,Fluxicon Disco
9,Data Analyst: Configure Segregation System,2023-02-20 11:30:25.000,Variant 14,14,Data Analyst: Configure Segregation System,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Configure Development System,2023-02-20 11:30:26.000,Variant 14,14,Machine Learning Expert: Configure Development System,complete,Variant 14,14,Fluxicon Disco
9,Machine Learning Expert: Configure Execution System,2023-02-20 11:30:27.000,Variant 14,14,Machine Learning Expert: Configure Execution System,complete,Variant 14,14,Fluxicon Disco
9,Data Engineer: Configure Monitoring System,2023-02-20 11:30:28.000,Variant 14,14,Data Engineer: Configure Monitoring System,complete,Variant 14,14,Fluxicon Disco
9,End,2023-02-20 11:30:28.000,Variant 14,14,End,complete,Variant 14,14,Fluxicon Disco
91,Start,2023-02-21 17:10:00.000,Variant 3,3,Start,complete,Variant 3,3,Fluxicon Disco
91,Technician: Assign Productivity Level,2023-02-21 17:10:01.000,Variant 3,3,Technician: Assign Productivity Level,complete,Variant 3,3,Fluxicon Disco
91,Data Engineer: Evaluate Model Performance,2023-02-21 17:10:02.000,Variant 3,3,Data Engineer: Evaluate Model Performance,complete,Variant 3,3,Fluxicon Disco
91,End,2023-02-21 17:10:02.000,Variant 3,3,End,complete,Variant 3,3,Fluxicon Disco
92,Start,2023-02-21 17:20:00.000,Variant 15,15,Start,complete,Variant 15,15,Fluxicon Disco
92,Technician: Assign Productivity Level,2023-02-21 17:20:01.000,Variant 15,15,Technician: Assign Productivity Level,complete,Variant 15,15,Fluxicon Disco
92,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 17:20:02.000,Variant 15,15,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 15,15,Fluxicon Disco
92,Data Analyst: Configure Segregation System,2023-02-21 17:20:03.000,Variant 15,15,Data Analyst: Configure Segregation System,complete,Variant 15,15,Fluxicon Disco
92,Machine Learning Expert: Configure Development System,2023-02-21 17:20:04.000,Variant 15,15,Machine Learning Expert: Configure Development System,complete,Variant 15,15,Fluxicon Disco
92,Machine Learning Expert: Configure Execution System,2023-02-21 17:20:05.000,Variant 15,15,Machine Learning Expert: Configure Execution System,complete,Variant 15,15,Fluxicon Disco
92,Data Engineer: Configure Monitoring System,2023-02-21 17:20:06.000,Variant 15,15,Data Engineer: Configure Monitoring System,complete,Variant 15,15,Fluxicon Disco
92,Technician: Assign Productivity Level,2023-02-21 17:20:07.000,Variant 15,15,Technician: Assign Productivity Level,complete,Variant 15,15,Fluxicon Disco
92,Data Analyst: Analyze Balance Report,2023-02-21 17:20:08.000,Variant 15,15,Data Analyst: Analyze Balance Report,complete,Variant 15,15,Fluxicon Disco
92,Data Analyst: Analyze Radar Diagram,2023-02-21 17:20:09.000,Variant 15,15,Data Analyst: Analyze Radar Diagram,complete,Variant 15,15,Fluxicon Disco
92,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 17:20:10.000,Variant 15,15,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 15,15,Fluxicon Disco
92,Data Analyst: Configure Segregation System,2023-02-21 17:20:11.000,Variant 15,15,Data Analyst: Configure Segregation System,complete,Variant 15,15,Fluxicon Disco
92,Machine Learning Expert: Configure Development System,2023-02-21 17:20:12.000,Variant 15,15,Machine Learning Expert: Configure Development System,complete,Variant 15,15,Fluxicon Disco
92,Machine Learning Expert: Configure Execution System,2023-02-21 17:20:13.000,Variant 15,15,Machine Learning Expert: Configure Execution System,complete,Variant 15,15,Fluxicon Disco
92,Data Engineer: Configure Monitoring System,2023-02-21 17:20:14.000,Variant 15,15,Data Engineer: Configure Monitoring System,complete,Variant 15,15,Fluxicon Disco
92,Technician: Assign Productivity Level,2023-02-21 17:20:15.000,Variant 15,15,Technician: Assign Productivity Level,complete,Variant 15,15,Fluxicon Disco
92,Data Engineer: Evaluate Model Performance,2023-02-21 17:20:16.000,Variant 15,15,Data Engineer: Evaluate Model Performance,complete,Variant 15,15,Fluxicon Disco
92,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 17:20:17.000,Variant 15,15,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 15,15,Fluxicon Disco
