,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
136,"frozenset({'26000036', '26000042', '26000062'})","frozenset({'28000009', '26000004'})",0.01485,0.02875,0.0134,0.9023569023569024,31.38632703850095,0.0129730625,9.946939655172413
137,"frozenset({'26000036', '26000004', '26000062'})","frozenset({'28000009', '26000042'})",0.0152,0.03305,0.0134,0.8815789473684211,26.674098256230593,0.01289764,8.16535555555556
138,"frozenset({'28000009', '26000042', '26000062'})","frozenset({'26000036', '26000004'})",0.0146,0.02595,0.0134,0.9178082191780822,35.368332145590834,0.01302113,11.850941666666667
139,"frozenset({'28000009', '26000004', '26000062'})","frozenset({'26000036', '26000042'})",0.01485,0.02415,0.0134,0.9023569023569024,37.36467504583447,0.0130413725,9.99405
140,"frozenset({'26000036', '26000062'})","frozenset({'28000009', '26000004', '26000042'})",0.0164,0.0242,0.0134,0.8170731707317073,33.763354162467245,0.01300312,5.334373333333332
141,"frozenset({'26000036', '26000004', '26000062', '28000009'})",frozenset({'26000046'}),0.0138,0.0949,0.01335,0.9673913043478262,10.193796673844322,0.01204038,27.756400000000067
142,"frozenset({'26000036', '26000062', '26000046', '28000009'})",frozenset({'26000004'}),0.0134,0.11605,0.01335,0.996268656716418,8.584822548181112,0.01179493,236.89860000000286
143,"frozenset({'26000036', '26000004', '26000062', '26000046'})",frozenset({'28000009'}),0.0143,0.08715,0.01335,0.9335664335664337,10.712179386878182,0.012103755,13.740794736842123
144,"frozenset({'28000009', '26000004', '26000062', '26000046'})",frozenset({'26000036'}),0.01385,0.0411,0.01335,0.9638989169675091,23.452528393370052,0.012780765000000001,26.56153000000003
145,"frozenset({'26000036', '26000062', '28000009'})","frozenset({'26000004', '26000046'})",0.0139,0.0332,0.01335,0.9604316546762591,28.928664297477685,0.01288852,24.43367272727281
146,"frozenset({'26000036', '26000004', '26000062'})","frozenset({'28000009', '26000046'})",0.0152,0.0251,0.01335,0.8782894736842106,34.99161249737891,0.012968480000000001,8.009989189189195
147,"frozenset({'26000036', '26000062', '26000046'})","frozenset({'28000009', '26000004'})",0.01495,0.02875,0.01335,0.8929765886287626,31.06005525665261,0.012920187500000001,9.075117187500005
148,"frozenset({'28000009', '26000004', '26000062'})","frozenset({'26000036', '26000046'})",0.01485,0.0253,0.01335,0.898989898989899,35.53319758853356,0.012974295,9.649530000000002
149,"frozenset({'28000009', '26000062', '26000046'})","frozenset({'26000036', '26000004'})",0.01415,0.02595,0.01335,0.9434628975265018,36.35695173512531,0.0129828075,17.228509375000012
150,"frozenset({'26000036', '26000062'})","frozenset({'28000009', '26000004', '26000046'})",0.0164,0.0214,0.01335,0.8140243902439024,38.03852290859357,0.01299904,5.2619803278688515
151,"frozenset({'26000036', '26000042', '26000062', '28000009'})",frozenset({'26000046'}),0.01345,0.0949,0.01305,0.9702602230483272,10.224027640129897,0.011773595000000001,30.433987500000015
152,"frozenset({'26000036', '26000062', '26000046', '28000009'})",frozenset({'26000042'}),0.0134,0.1769,0.01305,0.9738805970149254,5.50526058233423,0.010679540000000001,31.5129714285714
153,"frozenset({'26000036', '26000042', '26000062', '26000046'})",frozenset({'28000009'}),0.01435,0.08715,0.01305,0.9094076655052266,10.434970344294051,0.011799397500000001,10.076459615384623
154,"frozenset({'28000009', '26000042', '26000062', '26000046'})",frozenset({'26000036'}),0.0135,0.0411,0.01305,0.9666666666666668,23.519870235198706,0.01249515,28.767000000000102
155,"frozenset({'26000036', '26000062', '28000009'})","frozenset({'26000042', '26000046'})",0.0139,0.0435,0.01305,0.9388489208633095,21.582733812949645,0.01244535,15.641588235294158
156,"frozenset({'26000036', '26000042', '26000062'})","frozenset({'28000009', '26000046'})",0.01485,0.0251,0.01305,0.8787878787878788,35.01146927441748,0.012677265,8.042925
157,"frozenset({'26000036', '26000062', '26000046'})","frozenset({'28000009', '26000042'})",0.01495,0.03305,0.01305,0.8729096989966556,26.411791195057656,0.0125559025,7.60836973684211
158,"frozenset({'28000009', '26000042', '26000062'})","frozenset({'26000036', '26000046'})",0.0146,0.0253,0.01305,0.8938356164383562,35.329471005468626,0.01268062,9.181045161290324
159,"frozenset({'28000009', '26000062', '26000046'})","frozenset({'26000036', '26000042'})",0.01415,0.02415,0.01305,0.92226148409894,38.18888132914866,0.0127082775,12.552979545454564
160,"frozenset({'26000036', '28000009', '26000062', '26000042', '26000004'})",frozenset({'26000046'}),0.0134,0.0949,0.013,0.9701492537313432,10.222858311183806,0.01172834,30.32084999999991
161,"frozenset({'26000036', '28000009', '26000062', '26000042', '26000046'})",frozenset({'26000004'}),0.01305,0.11605,0.013,0.9961685823754788,8.583960210042902,0.011485547499999998,230.71094999999139
162,"frozenset({'26000036', '28000009', '26000062', '26000004', '26000046'})",frozenset({'26000042'}),0.01335,0.1769,0.013,0.9737827715355805,5.504707583581574,0.010638385,31.395385714285634
163,"frozenset({'26000036', '26000062', '26000042', '26000004', '26000046'})",frozenset({'28000009'}),0.0139,0.08715,0.013,0.935251798561151,10.731518055779128,0.011788614999999999,14.098461111111101
164,"frozenset({'28000009', '26000062', '26000042', '26000004', '26000046'})",frozenset({'26000036'}),0.01335,0.0411,0.013,0.9737827715355805,23.69301147288517,0.012451315,36.575185714285624
165,"frozenset({'26000036', '26000042', '26000062', '28000009'})","frozenset({'26000004', '26000046'})",0.01345,0.0332,0.013,0.9665427509293679,29.11273346172795,0.012553459999999999,28.896577777777683
166,"frozenset({'26000036', '26000004', '26000062', '28000009'})","frozenset({'26000042', '26000046'})",0.0138,0.0435,0.013,0.9420289855072463,21.65583874729302,0.0123997,16.49962499999999
