index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
9073,Fun Deck,3,7,0,1,0,2,4,2,4.625,0.0,0.0,112,62.142857142857146,0.0,16999,3742,1.5142857142857145,7,4,2850.0,8,3,0,0,1
9074,Fun Deck,3,5,2,1,3,5,0,0,3.75,0.0,0.0,112,78.0,26.666666666666668,6530,2995,3.7857142857142856,10,0,2600.0,8,5,0,0,1
9075,Fun Deck,1,6,1,1,3,2,3,0,3.625,0.0,0.0,112,80.0,20.0,8711,3136,2.814285714285714,10,1,2737.5,8,5,0,0,1
9076,Fun Deck,1,6,1,1,3,3,2,0,3.75,0.0,0.0,112,85.0,15.0,8041,2250,1.1714285714285713,26,0,3287.5,8,4,0,0,1
9077,Fun Deck,1,4,1,3,3,3,1,1,3.25,41633.30865001477,1185127.6215301421,112,105.0,7.5,5441,3152,0.74,8,2,3012.5,8,4,0,0,3
9078,Fun Deck,3,6,0,2,3,2,2,1,3.25,1955.1513776006263,54407.8590993199,112,72.5,0.0,9298,1632,1.4333333333333333,22,1,2925.0,8,3,1,1,1
9079,Fun Deck,2,6,0,2,3,4,1,0,3.875,2269.2796560750135,102750.02960483983,112,82.5,0.0,9139,4040,1.4666666666666668,10,0,3187.5,8,5,0,0,2
9080,Fun Deck,1,5,0,3,0,0,7,1,3.875,2181.183162786839,71569.45900989766,112,66.0,0.3333333333333333,10556,3757,1.8199999999999998,19,3,1925.0,8,2,2,1,2
9081,Fun Deck,3,6,0,2,1,1,3,3,4.25,2680.076298469993,109227.42372863422,112,62.5,0.0,8385,3103,1.1500000000000001,20,4,4300.0,8,5,1,0,2
9082,Fun Deck,3,7,0,1,1,4,3,0,4.25,0.0,0.0,112,75.0,0.0,7517,3977,1.657142857142857,21,0,4187.5,8,6,0,0,1
9083,Fun Deck,3,7,0,1,0,2,3,3,3.75,0.0,0.0,112,70.71428571428571,0.0,10979,1806,1.3571428571428572,23,4,3412.5,8,4,1,0,1
9084,Fun Deck,2,7,0,1,1,3,2,2,4.5,1417.4377353931122,35886.49316495552,112,72.85714285714286,0.0,16964,3313,1.3571428571428572,7,3,2175.0,8,3,0,0,1
9085,Fun Deck,3,7,1,0,0,2,0,6,4.5,1028.7332611430184,23924.735705221614,112,72.85714285714286,30.0,14450,1937,1.3750000000000002,7,6,4062.5,8,5,0,0,0
9086,Fun Deck,3,5,0,3,2,3,2,1,3.5,14033.73265435767,511779.48258289,112,72.0,0.0,8608,2659,1.3199999999999998,6,1,2700.0,8,3,1,0,3
9087,Fun Deck,3,4,1,3,2,2,4,0,4.25,0.0,0.0,112,60.0,10.0,7116,3146,3.2199999999999998,8,2,2475.0,8,4,0,0,3
9088,Fun Deck,3,5,1,2,0,2,6,0,4.5,0.0,0.0,112,69.0,13.333333333333334,13526,3788,3.0,19,1,1750.0,8,3,0,0,2
9089,Fun Deck,1,6,0,2,3,1,4,0,4.0,6132.721163876842,142668.38371633305,112,75.0,0.0,10167,3158,1.4833333333333334,16,0,1887.5,8,3,1,0,2
9090,Fun Deck,2,6,1,1,0,2,4,2,4.0,1028.7332611430184,23924.735705221614,112,80.0,15.0,10359,3055,1.0571428571428574,20,3,2687.5,8,4,0,0,1
9091,Fun Deck,3,6,1,1,1,2,5,0,4.375,0.0,0.0,112,70.0,15.0,14815,1943,1.2,20,3,2887.5,8,4,0,0,1
9092,Fun Deck,2,6,1,1,1,4,3,0,4.25,2269.2796560750076,102750.0296048399,112,65.0,20.0,12604,2831,2.6142857142857143,20,2,2137.5,8,2,0,0,1
9093,Fun Deck,1,7,0,1,2,1,5,0,4.0,0.0,0.0,112,64.28571428571429,0.0,9996,2589,1.4857142857142855,8,2,3850.0,8,5,0,0,1
9094,Fun Deck,3,7,1,0,1,2,5,0,4.5,0.0,0.0,112,68.57142857142857,30.0,17339,2861,1.6250000000000002,21,3,2850.0,8,4,2,0,0
9095,Fun Deck,1,7,0,1,0,1,5,2,4.5,28.105510388546673,273.386788948352,112,79.28571428571429,1.0,15449,1877,1.3285714285714287,21,4,1993.75,8,3,2,1,0
9096,Fun Deck,3,7,1,0,1,2,5,0,4.625,426.0276123312462,10637.143115189752,112,75.0,30.0,18872,2981,1.4625,8,2,2793.75,8,4,2,0,0
9097,Fun Deck,3,6,0,2,2,3,3,0,4.410714285714286,0.0,0.0,112,80.0,0.0,9570,1503,1.2166666666666666,28,1,1856.25,7,3,2,1,2
9098,Fun Deck,3,6,1,1,0,2,4,2,4.375,5646.26724765805,185211.3906665167,112,72.5,15.0,14130,2924,1.2,20,3,3312.5,8,3,1,0,1
9099,Fun Deck,3,5,0,3,4,2,1,1,3.25,10822.758442954246,431570.6085768706,112,78.0,0.0,6376,2480,1.2,7,2,3000.0,8,5,1,1,2
9100,Fun Deck,2,8,0,0,1,5,2,0,4.25,2260.939874806283,101441.25441470757,112,73.125,0.0,16952,3188,1.3625,10,2,2337.5,8,3,2,0,0
9101,Fun Deck,3,6,0,2,0,1,2,5,4.0,0.0,0.0,112,70.0,0.5,7958,2478,1.0166666666666668,6,5,3525.0,8,5,1,1,1
9102,Fun Deck,3,8,0,0,0,2,6,0,4.75,425.2038028074369,10627.69730574394,112,65.625,0.0,16894,3277,1.5750000000000002,22,2,2818.75,8,5,1,0,0
9103,Fun Deck,1,6,0,2,0,1,4,3,3.875,0.0,0.0,112,70.0,3.0,12504,3447,1.45,6,5,2543.75,8,3,1,1,1
9104,Fun Deck,3,6,0,2,4,3,1,0,3.75,2276.3945812503207,102792.32935505045,112,57.5,0.0,11893,2923,1.3666666666666665,7,1,3250.0,8,4,1,0,2
9105,Fun Deck,3,6,0,2,0,1,5,2,4.410714285714286,0.0,0.0,112,65.0,3.0,12138,1533,1.3,20,5,2800.0,7,3,1,2,1
9106,Fun Deck,3,5,0,3,2,3,3,0,3.625,0.0,0.0,112,69.0,0.0,9393,2279,1.22,21,1,2062.5,8,4,1,1,2
9107,Fun Deck,3,5,0,3,1,1,6,0,4.375,438.55093858495945,10944.39099961091,112,69.0,0.5,11917,2436,1.44,19,1,2125.0,8,3,0,0,3
9108,Fun Deck,1,5,1,2,2,2,2,2,4.375,2974.530730456821,77292.74212801502,112,63.0,10.0,13716,2722,1.2000000000000002,7,2,3750.0,8,5,0,0,2
9109,Fun Deck,3,6,0,2,2,2,4,0,3.75,2260.9398748062827,101441.25441470776,112,75.0,0.0,8939,3017,1.5999999999999999,6,1,3237.5,8,4,1,0,2
9110,Fun Deck,3,6,0,2,0,1,7,0,4.410714285714286,0.0,0.0,112,70.0,0.0,8585,2662,1.5666666666666667,20,3,2275.0,7,3,2,1,2
9111,Fun Deck,3,6,1,1,1,3,4,0,4.875,0.0,0.0,112,70.0,15.0,18154,5668,2.1,6,1,3712.5,8,4,2,0,1
9112,Fun Deck,3,5,0,3,0,2,5,1,3.625,2181.183162786839,71569.45900989766,112,78.0,0.3333333333333333,6619,3304,1.72,19,1,2350.0,8,3,2,1,2
9113,Fun Deck,2,6,0,2,2,1,3,2,2.75,10157.254432303538,401045.2924051699,112,67.5,0.0,4057,2303,1.6000000000000003,22,2,2831.25,8,3,1,0,2
9114,Fun Deck,1,7,0,1,4,1,1,2,3.375,2721.7178247030943,109568.62363289013,112,75.0,0.0,5478,3458,1.5999999999999999,14,2,3875.0,8,5,0,0,1
9115,Fun Deck,3,7,0,1,2,3,1,2,4.0,416.5200204400646,10649.219753864925,112,79.28571428571429,0.0,11929,2463,1.3142857142857143,16,3,1981.25,8,6,1,0,1
9116,Fun Deck,1,7,0,1,0,5,3,0,4.25,2269.2796560750135,102750.02960483983,112,62.142857142857146,0.0,12108,3672,1.4000000000000001,21,1,3300.0,8,5,1,0,1
9117,Fun Deck,3,6,0,2,0,1,5,2,3.625,0.0,0.0,112,80.0,3.0,7791,3245,1.55,23,2,2656.25,8,4,2,1,1
9118,Fun Deck,2,7,0,1,1,4,3,0,4.375,2206.733511473965,99574.94636102748,112,85.71428571428571,0.0,7944,2560,1.3142857142857143,28,1,2468.75,8,4,2,0,1
9119,Fun Deck,3,4,0,4,0,1,5,2,4.410714285714286,0.0,0.0,112,63.75,1.25,8777,1597,1.4,4,3,2856.25,7,4,3,3,2
9120,Fun Deck,2,7,0,1,3,1,2,2,3.75,1540.1886125612637,40948.49896695303,112,75.0,0.0,13407,1608,1.3714285714285714,13,3,2518.75,8,6,1,1,0
9121,Fun Deck,3,7,0,1,2,2,3,1,4.0,0.0,0.0,112,70.71428571428571,0.0,10311,3228,1.3142857142857143,23,1,2925.0,8,4,1,0,1
9122,Fun Deck,3,6,0,2,1,3,4,0,3.875,3376.816302446379,153191.8903804197,112,75.0,0.0,6508,3850,1.4833333333333334,22,2,2312.5,8,4,1,0,2
9123,Fun Deck,1,6,0,2,1,2,3,2,3.75,2708.1818088585246,109500.81051758265,112,90.0,0.0,9042,2965,1.0833333333333333,20,2,2487.5,8,4,0,0,2
9124,Fun Deck,3,7,0,1,0,3,3,2,3.625,3597.571352164106,130407.97503773058,112,77.14285714285714,0.0,11492,2827,1.4428571428571428,21,3,1837.5,8,2,1,0,1
9125,Fun Deck,3,6,0,2,1,1,4,2,4.0,1571.196618956634,41585.402322763584,112,62.5,0.0,10967,3153,1.3333333333333333,20,3,2737.5,8,3,0,1,1
9126,Fun Deck,1,6,0,2,2,0,4,2,3.625,0.0,0.0,112,75.0,0.0,7421,1746,1.0666666666666667,22,3,3012.5,8,5,0,0,2
9127,Fun Deck,3,5,1,2,1,2,5,0,3.625,0.0,0.0,112,66.0,15.333333333333334,7392,3819,3.2999999999999994,5,2,2675.0,8,3,1,1,1
9128,Fun Deck,1,6,0,2,3,1,0,4,4.0,4902.751329197449,180012.83275990048,112,82.5,0.0,10206,3549,2.1,15,3,3337.5,8,4,1,0,2
9129,Fun Deck,2,7,0,1,0,1,6,1,4.125,699.5905625319725,19824.665645788824,112,70.71428571428571,0.0,12535,3277,1.6428571428571428,21,3,3387.5,8,3,0,0,1
9130,Fun Deck,1,5,1,2,1,2,3,2,3.75,6487.670968778703,238906.7219339321,112,90.0,10.0,10746,2174,1.2666666666666666,5,2,2825.0,8,3,1,0,2
9131,Fun Deck,3,6,1,1,1,2,4,1,4.25,14.323274300000023,186.38424601834308,112,77.5,15.0,14056,3662,1.742857142857143,20,2,2800.0,8,4,3,0,1
9132,Fun Deck,1,7,0,1,0,0,8,0,4.75,3730.0236759716486,104603.52568682589,112,66.42857142857143,8.0,15948,3572,1.5,21,3,2575.0,8,4,0,1,0
9133,Fun Deck,3,6,0,2,1,1,4,2,3.75,0.0,0.0,112,80.0,3.0,9945,2724,1.2666666666666668,21,3,2937.5,8,4,1,1,1
9134,Fun Deck,3,6,0,2,0,2,4,2,3.625,5638.5293511748605,201002.50661969083,112,80.0,0.55,7408,2994,1.9166666666666667,20,2,3600.0,8,4,2,1,1
9135,Fun Deck,3,6,0,2,4,3,1,0,3.75,2276.3945812503207,102792.32935505045,112,57.5,0.0,10343,2582,1.3166666666666667,7,1,3737.5,8,5,1,0,2
9136,Fun Deck,3,7,0,1,4,2,1,1,3.5,0.0,0.0,112,90.0,0.0,7023,2475,1.042857142857143,26,1,2250.0,8,5,0,0,1
9137,Fun Deck,3,6,0,2,2,2,4,0,4.25,494.25466184171995,12542.798541887389,112,67.5,1.3,8692,2953,1.4833333333333334,21,0,3312.5,8,4,0,1,1
9138,Fun Deck,1,6,0,2,2,0,4,2,3.75,3110.629949254585,84346.61156237235,112,77.5,2.0,11448,3519,1.6333333333333335,8,3,2125.0,8,4,1,2,0
9139,Fun Deck,1,7,0,1,1,3,2,2,3.625,1408.8484888158698,36046.50570428203,112,68.57142857142857,0.0,9650,2802,1.3142857142857145,21,2,2612.5,8,2,0,0,1
9140,Fun Deck,2,5,1,2,1,4,3,0,3.75,416.5200204400646,10649.219753864929,112,66.0,13.333333333333334,9748,2843,2.85,5,3,2300.0,8,5,0,1,1
9141,Fun Deck,1,6,0,2,2,0,6,0,3.0,699.590562531972,19824.665645788835,112,85.0,0.0,4138,1834,1.4166666666666667,24,1,3187.5,8,4,0,0,2
9142,Fun Deck,2,7,0,1,1,0,1,6,4.0,0.0,0.0,112,79.28571428571429,0.0,10302,3636,1.6571428571428568,8,6,2181.25,8,1,0,0,1
9143,Fun Deck,1,6,0,2,0,2,6,0,4.375,2085.4539409730987,57590.333675593865,112,62.5,4.0,10906,3214,1.5,20,1,2862.5,8,4,0,1,1
9144,Fun Deck,1,7,0,1,3,0,3,2,3.6964285714285716,5391.421636506675,146007.75578020228,112,83.57142857142857,0.0,9089,2391,1.5142857142857142,11,4,3012.5,7,5,1,1,1
9145,Fun Deck,2,7,0,1,0,3,3,2,4.375,0.0,0.0,112,62.142857142857146,0.0,10600,4201,1.542857142857143,7,4,3500.0,8,4,0,0,1
9146,Fun Deck,3,6,0,2,0,2,3,3,4.0,699.5905625319725,19824.665645788824,112,70.0,0.0,8918,2362,1.6166666666666665,20,3,4275.0,8,5,0,0,2
9147,Fun Deck,3,5,0,3,2,3,3,0,3.5,416.5200204400646,10649.219753864929,112,84.0,0.0,4852,2990,1.3599999999999999,24,1,1812.5,8,5,0,1,2
9148,Fun Deck,3,6,0,2,0,3,5,0,4.0,0.0,0.0,112,67.5,0.0,13274,3563,1.5166666666666666,20,1,2000.0,8,3,1,0,2
9149,Fun Deck,3,7,0,1,0,0,8,0,4.75,425.2038028074369,10627.69730574394,112,66.42857142857143,0.0,17750,2904,1.6,21,3,2268.75,8,4,1,0,1
9150,Fun Deck,3,6,0,2,0,2,4,2,4.0,4852.9196799880965,179488.10754839957,112,80.0,0.0,13414,2282,1.3666666666666665,20,2,2137.5,8,2,1,0,2
9151,Fun Deck,1,7,0,1,2,2,2,2,3.5,0.0,0.0,112,90.0,0.0,9679,2555,1.457142857142857,22,2,2812.5,8,4,2,1,0
9152,Fun Deck,2,8,0,0,1,1,3,3,4.25,0.0,0.0,112,61.875,0.0,13613,1822,1.3625,22,5,3662.5,8,4,1,0,0
9153,Fun Deck,1,6,0,2,3,1,4,0,3.625,1668.0735896731392,38841.369923115,112,75.0,0.0,10693,1531,1.3333333333333333,22,2,2462.5,8,3,0,0,2
9154,Fun Deck,3,6,1,1,1,6,1,0,4.0,6736.953042355218,303766.23038057657,112,77.5,20.0,13898,3290,2.585714285714286,20,0,1625.0,8,2,2,0,1
9155,Fun Deck,3,8,0,0,4,3,0,1,3.375,0.0,0.0,112,90.0,0.0,6792,2953,1.525,16,2,3275.0,8,4,0,0,0
9156,Fun Deck,1,7,0,1,0,2,6,0,3.625,0.0,0.0,112,81.42857142857143,0.0,10287,3787,1.5,22,1,1700.0,8,2,1,0,1
9157,Fun Deck,2,5,0,3,1,0,4,3,3.0,2314.894328254845,62623.156402183646,112,84.0,0.3666666666666667,6077,1798,1.2,19,3,2381.25,8,3,0,2,1
9158,Fun Deck,2,6,0,2,2,2,2,2,4.125,0.0,0.0,112,90.0,0.0,7693,2012,1.3166666666666667,21,2,2275.0,7,3,2,1,2
9159,Fun Deck,2,8,0,0,1,3,3,1,3.875,3097.102460546372,74839.20086160136,112,75.0,0.0,15073,3280,1.65,8,3,2412.5,8,2,1,0,0
9160,Fun Deck,3,6,0,2,1,1,5,1,4.0,0.0,0.0,112,60.0,0.0,10924,3634,1.55,6,4,3137.5,8,3,0,0,2
9161,Fun Deck,2,6,0,2,1,2,3,2,4.25,0.0,0.0,112,75.0,3.0,9273,3137,1.15,24,3,3050.0,8,6,0,1,1
9162,Fun Deck,3,7,0,1,1,2,5,0,3.875,0.0,0.0,112,70.71428571428571,0.0,12877,3545,1.5857142857142859,21,1,2200.0,8,2,1,0,1
