index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
4130,Challenger,1,5,1,2,3,4,1,0,3.5,2317.742983611493,100827.43311018069,102,78.0,16.833333333333332,6965,1413,2.316666666666667,8,1,2075.0,8,4,1,0,2
4131,Challenger,1,6,0,2,2,1,3,2,4.375,2887.803869663342,60857.86063641643,97,72.5,1.3,10480,1777,1.6833333333333333,7,3,2706.25,8,5,1,1,1
4132,Challenger,3,6,0,2,2,1,2,3,3.75,0.0,0.0,88,80.0,3.0,7923,1695,0.9999999999999999,7,3,2893.75,8,4,0,1,1
4133,Challenger,1,7,0,1,2,4,1,1,4.75,0.0,0.0,104,81.42857142857143,0.0,12164,3968,1.2,12,2,2412.5,8,5,1,0,1
4134,Challenger,1,5,1,2,2,2,3,1,4.25,0.0,0.0,92,63.0,10.0,9993,3389,1.7333333333333334,19,3,2587.5,8,3,0,0,2
4135,Challenger,1,5,1,2,2,1,3,2,4.125,8190.252492350577,225547.89240135043,97,90.0,9.333333333333334,7836,2373,3.083333333333334,6,3,2687.5,8,4,1,2,0
4136,Master,1,5,1,2,2,1,3,2,4.125,0.0,0.0,104,72.0,12.0,10063,2526,1.6666666666666663,7,3,3487.5,8,5,1,1,1
4137,Challenger,3,5,0,3,2,3,2,1,3.75,1136.0244790034512,25229.69925919798,104,63.0,0.0,10292,3193,1.7,6,2,2468.75,8,5,1,1,2
4138,Challenger,1,4,1,3,0,1,6,1,4.375,6686.084493356322,170361.64254771394,82,63.75,5.65,8725,1514,3.54,4,1,3606.25,8,5,1,1,2
4139,Challenger,1,5,1,2,2,1,3,2,3.625,1606.645778402083,59145.227596583485,90,84.0,10.0,6374,1752,1.1666666666666667,10,3,2412.5,8,2,1,0,2
