index,rank,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
5708,Challenger,6,0,2,0,2,2,4,3.5,0.0,0.0,72,80.0,0.0,6593,2059,1.4166666666666667,6,5,2825.0,8,4,0,0,2
5709,Challenger,6,1,1,3,2,1,2,3.75,1028.7332611430184,23924.735705221614,93,77.5,15.0,8180,1468,1.2857142857142858,22,2,3912.5,8,5,1,1,0
5710,Master,6,0,2,2,1,3,2,3.75,0.8918918918918919,5.77009541889394,104,75.0,2.0,5929,2281,1.3,22,3,2368.75,8,5,1,1,1
5711,Challenger,6,0,2,2,0,3,3,3.875,2752.6744270923095,75847.41174499058,84,60.0,3.0,8779,2551,1.7166666666666666,6,4,3312.5,8,5,1,2,0
5712,Master,5,0,3,1,0,5,2,4.0,5452.0756519918605,150528.4801499517,101,63.0,1.7,9753,3163,1.9,5,3,2862.5,8,5,1,3,0
5713,Master,5,1,2,0,3,2,3,4.125,2.5062906843170505,16.258527695575935,104,72.0,6.666666666666667,9843,2661,2.9166666666666665,8,3,3143.75,8,3,1,0,2
5714,Master,5,1,2,3,1,1,3,4.125,0.0,0.0,104,60.0,10.0,11305,2551,1.5333333333333332,5,4,3612.5,8,6,0,1,1
5715,Master,5,1,2,2,4,1,1,4.0,1121.859920671339,50628.2450215982,104,63.0,13.333333333333334,10960,3024,3.0666666666666664,7,3,1812.5,8,5,2,0,2
5716,Challenger,5,1,2,3,1,2,2,3.375,23554.50343144493,622110.9700923711,94,84.0,10.0,4575,1130,1.2833333333333334,28,1,3025.0,8,3,0,0,2
5717,Challenger,6,0,2,2,1,2,3,3.875,1955.1513776006263,54407.8590993199,72,70.0,0.5,6134,1745,1.5333333333333332,10,3,3250.0,8,6,1,2,0
5718,Challenger,8,0,0,3,2,1,2,3.375,0.8882978723404256,8.070194816850071,104,93.75,0.0,6841,2466,1.4500000000000002,12,4,3300.0,8,4,0,0,0
5719,Challenger,6,0,2,0,1,6,1,4.125,4620.0686568450565,121103.91132995365,100,72.5,0.55,12532,2142,1.633333333333333,6,4,2718.75,8,5,1,1,1
5720,Master,4,1,3,4,1,1,2,3.125,49183.4830188395,1415119.7166247775,104,90.0,7.5,4238,3145,1.34,8,2,3262.5,8,4,0,0,3
5721,Challenger,7,0,1,1,2,3,2,3.75,0.0,0.0,100,85.71428571428571,0.0,8664,1385,1.0571428571428572,23,3,1912.5,8,3,1,0,1
5722,Challenger,7,0,1,3,2,1,2,4.125,1955.1513776006332,54407.85909931985,104,77.14285714285714,0.0,11445,2421,1.5999999999999999,9,3,3275.0,8,5,1,1,0
5723,Challenger,6,0,2,2,1,1,4,3.875,7264.054663535252,207145.583750446,85,72.5,0.0,9162,2442,1.4166666666666663,6,3,2700.0,8,3,0,1,1
5724,Challenger,7,0,1,5,0,3,0,3.4107142857142856,1389.3322250045637,35613.10637600717,87,83.57142857142857,0.0,6964,1266,1.157142857142857,17,0,2281.25,7,3,3,1,1
5725,Master,6,0,2,3,3,1,1,3.375,3961.7491073789784,81837.57344251362,104,90.0,0.0,4944,1432,1.5833333333333333,17,1,2768.75,8,4,1,1,1
5726,Master,6,0,2,1,3,3,1,3.875,0.0,0.0,104,62.5,3.0,12532,2628,1.3833333333333335,6,3,2900.0,8,5,1,2,0
5727,Challenger,5,1,2,0,3,2,3,3.5,6968.5576327522285,229171.07936047664,104,78.0,10.0,7780,2283,1.4333333333333333,19,2,3475.0,8,4,0,0,2
5728,Master,4,1,3,3,1,4,0,4.125,798.4149413835809,21445.32274108959,103,75.0,8.5,8558,2260,1.3800000000000001,23,2,2312.5,8,5,1,2,1
5729,Master,5,0,3,2,1,3,2,2.625,18013.196573717054,555743.7559739663,102,84.0,0.3666666666666667,3371,1143,1.24,13,2,3556.25,8,3,1,1,2
5730,Master,5,1,2,2,2,2,2,3.875,2203.892839763709,59115.19997605518,104,72.0,12.666666666666666,9877,1825,1.1666666666666667,7,4,2387.5,8,4,1,1,1
5731,Challenger,5,1,2,3,3,1,1,3.125,19905.156471037677,770009.8201048126,104,90.0,10.0,6587,2573,1.1166666666666667,8,1,2875.0,8,4,1,0,2
5732,Challenger,6,0,2,2,1,1,4,3.875,1979.072664763878,51957.119472119535,90,85.0,0.0,7742,1811,1.2833333333333334,13,4,1443.75,8,3,0,0,2
5733,Challenger,5,0,3,1,2,4,1,3.25,2676.113942485728,107939.24237232747,103,96.0,1.3333333333333333,4971,1968,1.14,21,2,2550.0,8,3,1,2,1
5734,Master,4,1,3,1,2,4,1,3.875,2037.183508673677,53011.27287027894,101,75.0,7.875,6490,1439,1.04,6,2,3306.25,8,4,0,1,2
5735,Master,5,1,2,3,1,2,2,4.5,4014.63832174441,135387.23766427353,104,60.0,10.0,12926,4544,1.3166666666666667,6,2,3537.5,8,4,1,0,2
5736,Challenger,5,1,2,3,3,2,0,4.125,1905.0596958630251,71881.41342125053,103,63.0,10.0,10489,3620,1.616666666666667,19,1,2850.0,8,4,2,1,1
5737,Challenger,7,0,1,2,1,2,3,4.625,0.0,0.0,87,70.71428571428571,0.0,6314,3094,1.6142857142857143,27,3,3100.0,8,3,0,0,1
