index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles,winner
7703,Champion,2,5,0,3,1,2,3,2,4.0,0.0,0.0,104,57.0,4.666666666666667,9523,1890,1.72,5,4,3550.0,8,6,1,2,0,True
7704,Master,1,5,0,3,2,2,3,1,4.125,0.0,0.0,104,75.0,2.0,9063,2465,1.46,14,1,2618.75,8,5,1,1,2,True
7705,Challenger,1,5,1,2,2,4,1,1,3.4107142857142856,0.0,0.0,104,90.0,16.333333333333332,6405,2078,2.433333333333333,11,0,2200.0,7,3,1,1,2,True
7706,Challenger,2,7,0,1,2,1,3,2,4.125,0.0,0.0,87,75.0,6.0,8483,2569,2.0571428571428574,12,3,3775.0,8,4,1,1,0,True
7707,Master,3,5,0,3,2,2,2,2,3.25,37.02886984128042,571.517871324308,103,84.0,0.0,5306,2374,1.48,9,3,3337.5,8,3,0,0,3,True
7708,Challenger,3,7,0,1,3,1,4,0,4.553571428571429,0.0,0.0,104,72.85714285714286,0.0,12189,2710,1.2285714285714284,11,1,2375.0,7,3,2,1,1,True
7709,Challenger,3,6,0,2,2,1,3,2,4.0,22.712827620121388,267.7779341615366,68,77.5,0.55,8492,1400,1.6333333333333335,7,3,2456.25,8,6,1,2,0,True
7710,Master,1,4,1,3,1,5,2,0,3.875,0.0,0.0,101,82.5,7.5,7517,2184,1.1800000000000002,6,0,2887.5,8,4,1,0,3,True
7711,Champion,1,5,1,2,2,3,2,1,2.875,1.6939487531457331,14.666859153101887,104,69.0,10.0,7538,2085,1.7333333333333334,7,3,2756.25,8,3,2,1,2,True
7712,Master,2,6,0,2,0,1,4,3,3.875,363.97499437023157,8352.09029524042,104,77.5,4.0,10440,2177,1.3833333333333335,6,4,2581.25,8,3,1,1,1,True
7713,Fun Deck,2,4,1,3,3,1,1,3,3.25,0.0,0.0,67,105.0,12.525,5730,1068,2.2199999999999998,8,2,2187.5,8,4,0,2,1,True
7714,Master,3,4,1,3,2,2,4,0,3.875,0.8416886543535619,4.43460829480275,103,82.5,12.625,6262,1268,2.64,11,0,2343.75,8,2,1,0,3,True
7715,Master,1,8,0,0,3,2,2,1,4.0,0.0,0.0,104,73.125,0.0,12366,1504,1.2874999999999999,27,2,3250.0,8,5,1,0,0,True
7716,Master,3,5,1,2,4,3,0,1,2.875,416.7013717220847,18054.56800494719,104,90.0,10.0,6695,2581,1.0499999999999998,7,1,2862.5,8,4,1,0,2,True
7717,Master,1,6,0,2,3,3,1,1,4.0,0.0,0.0,104,80.0,0.0,9956,2770,1.4333333333333333,7,2,2487.5,8,4,1,1,1,True
7718,Champion,1,5,0,3,3,3,1,1,3.5,0.0,0.0,104,81.0,3.3333333333333335,7473,2015,1.3199999999999998,23,0,2525.0,8,5,1,1,2,True
7719,Challenger,3,6,0,2,4,2,2,0,5.25,0.0,0.0,102,60.0,0.0,13007,4637,1.4333333333333333,11,1,2825.0,8,4,1,1,1,True
7720,Master,1,5,0,3,1,2,4,1,3.375,0.0,0.0,104,78.0,0.0,5054,2958,1.08,11,2,3181.25,8,3,1,0,3,True
7721,Challenger,1,3,1,4,3,3,2,0,4.696428571428571,1.6350806451612905,8.065989222239303,103,70.0,6.3,4931,3221,1.175,8,0,2750.0,7,5,1,1,4,True
7722,Champion,1,5,1,2,2,1,4,1,3.875,0.8416886543535619,4.43460829480275,103,69.0,7.166666666666667,8462,1566,2.9333333333333336,7,2,3400.0,8,3,1,0,2,True
7723,Master,3,8,0,0,1,2,3,2,4.625,0.852233676975945,11.235776888278773,104,71.25,0.0,12436,3587,1.55,13,5,2137.5,8,3,1,0,0,True
7724,Master,1,3,2,3,1,4,3,0,3.75,0.0,0.0,104,70.0,17.4,6714,1042,2.2600000000000002,17,0,2587.5,8,4,0,2,1,True
7725,Challenger,2,6,1,1,2,2,2,2,4.0,0.0,0.0,72,77.5,15.0,10389,1702,1.157142857142857,7,2,2687.5,8,2,2,0,1,True
7726,Fun Deck,3,8,0,0,1,2,2,3,5.5,0.0,0.0,67,54.375,0.0,10644,3003,1.5875,10,4,3950.0,8,4,1,0,0,True
7727,Master,1,6,0,2,2,2,1,3,3.625,0.0,0.0,103,80.0,0.0,8718,2134,1.8500000000000003,10,4,3037.5,8,5,0,0,2,True
7728,Master,1,5,1,2,0,1,4,3,4.0,24.231407865993376,453.4185365599811,103,81.0,16.0,10470,1754,2.8833333333333333,5,3,2518.75,8,3,0,1,1,True
7729,Master,3,6,0,2,3,0,4,1,3.75,0.0,0.0,104,82.5,0.5,8751,1391,1.4166666666666667,31,1,1862.5,8,5,3,1,1,True
7730,Master,2,7,0,1,1,2,3,2,4.0,0.0,0.0,97,81.42857142857143,0.0,7452,3199,1.5285714285714287,9,4,2712.5,8,3,1,1,0,True
7731,Challenger,1,5,1,2,2,2,4,0,4.0,0.0,0.0,82,72.0,10.0,6717,2392,1.3,9,2,3750.0,8,5,0,1,1,True
7732,Challenger,2,6,0,2,2,1,2,3,4.125,8.449083005952035,205.09611211452773,88,70.0,0.0,8059,3615,1.8833333333333335,10,4,3200.0,8,5,0,1,1,True
7733,Champion,1,4,1,3,2,1,3,2,3.75,0.0,0.0,104,60.0,7.5,6485,2379,1.58,5,3,3737.5,8,3,0,0,3,True
7734,Master,2,6,1,1,3,3,2,0,3.875,0.0,0.0,104,85.0,15.0,11269,3738,1.9142857142857141,6,1,2737.5,8,4,2,0,1,True
7735,Master,3,6,1,1,1,4,1,2,3.875,0.8360128617363344,5.241459948190184,104,75.0,15.75,7768,2204,1.5428571428571427,6,3,4750.0,8,6,0,0,1,True
7736,Champion,1,6,0,2,1,0,6,1,4.125,0.0,0.0,104,65.0,0.5,9490,2580,1.25,12,4,3081.25,8,5,2,1,1,True
7737,Challenger,1,7,1,0,2,3,2,1,4.0,0.0,0.0,91,81.42857142857143,49.0,7665,2758,2.3125,9,3,2762.5,8,3,1,0,0,True
7738,Master,1,4,1,3,1,3,2,2,3.375,34.35438650207086,351.124199795059,104,97.5,7.5,4817,2064,1.42,22,1,3087.5,8,3,1,0,3,True
7739,Master,1,4,1,3,0,3,3,2,3.75,3.4159542059748427,19.947460271279933,103,82.5,8.15,6951,1439,1.5,6,1,3937.5,8,4,1,1,2,True
7740,Challenger,3,8,0,0,1,1,2,4,4.5,0.0,0.0,80,69.375,0.0,9926,2676,1.575,13,5,2350.0,8,2,1,0,0,True
7741,Challenger,1,5,1,2,2,1,2,3,3.875,0.0,0.0,87,78.0,10.366666666666667,8695,1266,1.1500000000000001,19,3,3312.5,8,5,1,2,0,True
7742,Challenger,3,7,0,1,1,1,2,4,3.625,0.0,0.0,89,81.42857142857143,0.0,7330,2391,1.4571428571428573,21,4,2206.25,8,2,1,0,1,True
7743,Fun Deck,2,5,0,3,2,2,2,2,3.875,0.0,0.0,64,66.0,1.0,5591,1212,1.3599999999999999,8,3,2781.25,8,4,1,2,1,True
7744,Champion,1,6,0,2,2,2,3,1,3.75,0.0,0.0,104,72.5,3.0,9654,3579,1.8166666666666667,12,2,2862.5,8,4,1,2,0,True
7745,Challenger,1,7,0,1,2,1,1,4,4.25,0.0,0.0,77,68.57142857142857,0.0,6719,1235,1.1,23,4,3600.0,8,6,0,0,1,True
7746,Master,1,5,1,2,2,2,2,2,3.125,153.05237643941965,2724.9946634127314,101,90.0,10.0,5582,1187,1.1166666666666665,15,2,3618.75,8,3,1,0,2,True
7747,Master,1,4,1,3,3,4,0,1,2.875,13.449529435909685,229.78860354862303,104,82.5,8.25,6665,1570,1.3,6,0,3050.0,8,2,1,2,2,True
7748,Challenger,2,7,0,1,6,0,2,0,4.0,0.0,0.0,104,75.0,0.0,9515,1710,1.2714285714285716,17,1,2750.0,8,3,1,0,1,True
7749,Challenger,1,6,0,2,4,2,1,1,3.5,0.0,0.0,103,97.5,0.0,7434,3016,1.1166666666666667,14,2,2075.0,8,5,0,1,1,True
7750,Challenger,3,5,0,3,3,1,2,2,4.0,0.0,0.0,89,69.0,0.0,6593,2425,1.86,24,3,2237.5,8,4,0,1,2,True
7751,Challenger,1,5,1,2,4,0,4,0,3.75,0.0,0.0,104,84.0,14.666666666666666,8533,2434,1.5833333333333333,10,1,2650.0,8,5,1,2,0,True
7752,Challenger,3,7,0,1,0,2,1,5,4.5,0.0,0.0,73,79.28571428571429,0.0,9326,2724,1.6285714285714286,7,5,2793.75,8,2,1,0,1,True
7753,Challenger,3,5,0,3,3,1,2,2,4.0,0.0,0.0,86,72.0,4.666666666666667,4986,1230,1.38,21,1,2850.0,8,5,0,2,0,True
